Player,surface,AvgFirstServe,AvgSecondServe,FirstServeIn,L,LoseRatio,MatchCount,RatioPtsLess4,ServeFirstServePointsWon,ServeSecondServePointsWon,Total,W,WinRatio
Lleyton Hewitt,Grass,164.3,136,57.4,35,0.204678363,8,78.1,71,52.6,171,136,79.5
Marcel Granollers,Grass,190.5,151.5,65.4,28,0.180645161,8,67.3,70.1,57.4,155,127,81.9
Jack Sock,Grass,187.9,165.3,59.3,22,0.122905028,9,72.6,76.1,66,179,157,87.7
Kyle Edmund,Grass,186.4,158.2,60.3,33,0.239130435,9,77.8,73.3,56.9,138,105,76.1
Ryan Harrison,Grass,198.1,161.4,58.8,30,0.185185185,9,71.6,76.8,52.8,162,132,81.5
Alexandr Dolgopolov,Grass,186.5,154.9,61.5,32,0.162436548,10,67.9,74,64.3,197,165,83.8
Dominic Thiem,Grass,195,158.3,57.5,26,0.137566138,10,78.1,77.9,61.1,189,163,86.2
Florian Mayer,Grass,183.1,139,64.2,32,0.198757764,10,75.1,75.2,55,161,129,80.1
Julien Benneteau,Grass,188,158.4,63,41,0.221621622,10,67.4,72.2,60.8,185,144,77.8
Leonardo Mayer,Grass,192.7,169.5,63,25,0.130890052,10,64.9,77.2,60.3,191,166,86.9
Lucas Pouille,Grass,190.5,158.3,58.1,33,0.163366337,10,73.3,77,56.8,202,169,83.7
Mikhail Kukushkin,Grass,179.8,147.4,66.2,36,0.215568862,10,70,69.4,54.9,167,131,78.4
Nicolas Almagro,Grass,192.3,164.6,59.1,22,0.117021277,10,73.1,69.5,62.9,188,166,88.3
Nicolas Mahut,Grass,184.3,151.6,63.3,31,0.182352941,10,70.6,74.1,53.7,170,139,81.8
Albert Ramos,Grass,184.3,151.6,64.3,42,0.227027027,11,68.7,69.8,61.7,185,143,77.3
Steve Johnson,Grass,186.5,159,62.9,34,0.157407407,11,71.3,74.1,57.8,216,182,84.3
Andreas Seppi,Grass,182.6,148.2,60.6,36,0.181818182,12,72.8,77.5,57.3,198,162,81.8
Denis Istomin,Grass,184.3,151.6,66.6,38,0.164502165,12,74.4,71.6,61.5,231,193,83.5
Ivo Karlovic,Grass,198.5,185.2,70.2,19,0.068345324,12,77.4,83.3,65.3,278,259,93.2
Philipp Kohlschreiber,Grass,181.9,155.7,63.6,27,0.127962085,12,76,73,64.6,211,184,87.2
Robin Haase,Grass,184.2,160.6,61.2,45,0.19650655,12,68.5,72,52.5,229,184,80.3
Viktor Troicki,Grass,186.1,159.9,62.7,34,0.172588832,12,64.3,73.4,64.3,197,163,82.7
David Goffin,Grass,178,150.2,58.6,32,0.155339806,13,78,78,62.2,206,174,84.5
Jeremy Chardy,Grass,192.6,164.2,64,43,0.169960474,13,69.9,78.1,55.4,253,210,83
Gael Monfils,Grass,187.7,160,66,41,0.144366197,14,78.4,76.6,60,284,243,85.6
Gilles Muller,Grass,180.9,158.9,64.2,28,0.095890411,14,76.7,81.7,57.9,292,264,90.4
Jerzy Janowicz,Grass,190.6,156.4,58.9,32,0.114695341,14,77.4,79.4,58.7,279,247,88.5
Roberto Bautista Agut,Grass,172.6,147.5,71.3,47,0.206140351,14,69.8,68.3,57,228,181,79.4
Sergiy Stakhovsky,Grass,184.7,164.1,63.1,43,0.176954733,14,69.1,76.3,57.5,243,200,82.3
Benoit Paire,Grass,187.4,153.6,56.5,58,0.214814815,15,66.4,75.6,55.9,270,212,78.5
