Player,surface,AvgFirstServe,AvgSecondServe,FirstServeIn,L,LoseRatio,MatchCount,RatioPtsLess4,ServeFirstServePointsWon,ServeSecondServePointsWon,Total,W,WinRatio
Juan Martin Del Potro,Hard,191.9,151.6,64.0,95.0,0.1445966514459665,39.0,80.5,78.4,58.9,657.0,562.0,85.5
Juan Monaco,Clay,160.1,139.1,74.6,43.0,0.2792207792207792,9.0,63.9,56.4,53.7,154.0,111.0,72.1
Juan Monaco,Grass,171.4,152.0,73.5,26.0,0.19402985074626866,8.0,63.8,67.1,59.2,134.0,108.0,80.6
Juan Monaco,Hard,167.5,142.3,69.4,61.0,0.3465909090909091,10.0,73.9,61.0,55.9,176.0,115.0,65.3
Julien Benneteau,Clay,189.0,150.7,61.7,36.0,0.1978021978021978,9.0,75.0,72.2,57.9,182.0,146.0,80.2
Julien Benneteau,Grass,188.0,158.4,63.0,41.0,0.22162162162162163,10.0,67.4,72.2,60.8,185.0,144.0,77.8
Julien Benneteau,Hard,182.8,150.0,60.1,82.0,0.24188790560471976,18.0,72.7,69.5,54.0,339.0,257.0,75.8
Kei Nishikori,Clay,178.3,142.0,58.8,84.0,0.25225225225225223,20.0,69.2,72.4,53.9,333.0,249.0,74.8
Kei Nishikori,Grass,174.0,142.8,65.8,52.0,0.14689265536723164,20.0,72.5,72.5,64.0,354.0,302.0,85.3
Kei Nishikori,Hard,173.4,139.9,59.3,164.0,0.18303571428571427,52.0,72.8,73.5,61.9,896.0,732.0,81.7
Kevin Anderson,Clay,196.4,169.0,63.7,41.0,0.15185185185185185,16.0,71.1,75.0,55.4,270.0,229.0,84.8
Kevin Anderson,Grass,200.1,174.1,66.0,58.0,0.11507936507936507,23.0,81.3,82.5,61.1,504.0,446.0,88.5
Kevin Anderson,Hard,198.5,167.4,64.7,91.0,0.1385083713850837,36.0,79.9,78.7,60.9,657.0,566.0,86.1
Kyle Edmund,Clay,184.4,143.7,58.9,19.0,0.1623931623931624,6.0,75.3,75.4,57.6,117.0,98.0,83.8
Kyle Edmund,Grass,186.4,158.2,60.3,33.0,0.2391304347826087,9.0,77.8,73.3,56.9,138.0,105.0,76.1
Kyle Edmund,Hard,179.4,132.9,57.8,34.0,0.2,11.0,75.6,73.1,55.0,170.0,136.0,80.0
Leonardo Mayer,Clay,184.3,151.6,60.4,45.0,0.25862068965517243,10.0,69.7,69.2,57.7,174.0,129.0,74.1
Leonardo Mayer,Grass,192.7,169.5,63.0,25.0,0.13089005235602094,10.0,64.9,77.2,60.3,191.0,166.0,86.9
Leonardo Mayer,Hard,190.7,164.7,60.5,56.0,0.2692307692307692,13.0,73.3,68.7,58.5,208.0,152.0,73.1
Lleyton Hewitt,Clay,163.2,129.1,51.8,23.0,0.3770491803278688,3.0,73.1,65.5,53.2,61.0,38.0,62.3
Lleyton Hewitt,Grass,164.3,136.0,57.4,35.0,0.2046783625730994,8.0,78.1,71.0,52.6,171.0,136.0,79.5
Lleyton Hewitt,Hard,165.3,137.0,53.1,102.0,0.2457831325301205,21.0,69.4,68.8,57.2,415.0,313.0,75.4
Lucas Pouille,Clay,187.2,159.9,55.9,44.0,0.2875816993464052,9.0,67.5,66.7,51.6,153.0,109.0,71.2
Lucas Pouille,Grass,190.5,158.3,58.1,33.0,0.16336633663366337,10.0,73.3,77.0,56.8,202.0,169.0,83.7
Lucas Pouille,Hard,185.9,149.9,54.9,56.0,0.21455938697318008,13.0,70.9,72.3,58.5,261.0,205.0,78.5
Marcel Granollers,Clay,187.3,145.4,65.3,55.0,0.2736318407960199,12.0,67.5,70.6,54.7,201.0,146.0,72.6
Marcel Granollers,Grass,190.5,151.5,65.4,28.0,0.18064516129032257,8.0,67.3,70.1,57.4,155.0,127.0,81.9
Marcel Granollers,Hard,191.5,146.5,57.9,71.0,0.3256880733944954,14.0,67.7,66.3,55.9,218.0,147.0,67.4
Marcos Baghdatis,Clay,180.5,129.5,48.7,32.0,0.19631901840490798,9.0,78.4,73.2,54.8,163.0,131.0,80.4
Marcos Baghdatis,Grass,188.0,155.5,55.9,55.0,0.1936619718309859,16.0,80.0,76.7,58.4,284.0,229.0,80.6
Marcos Baghdatis,Hard,183.9,145.8,50.5,104.0,0.232662192393736,26.0,73.2,73.1,53.4,447.0,343.0,76.7
Marin Cilic,Clay,194.8,149.1,56.6,48.0,0.17712177121771217,19.0,75.4,77.9,57.9,271.0,223.0,82.3
Marin Cilic,Grass,193.3,157.0,61.9,60.0,0.11009174311926606,28.0,79.7,83.1,56.9,545.0,485.0,89.0
Marin Cilic,Hard,190.0,147.5,55.1,127.0,0.15954773869346733,44.0,73.9,80.3,58.7,796.0,669.0,84.0
Mikhail Kukushkin,Clay,167.8,130.0,69.4,29.0,0.27884615384615385,6.0,73.6,64.0,53.6,104.0,75.0,72.1
Mikhail Kukushkin,Grass,179.8,147.4,66.2,36.0,0.2155688622754491,10.0,70.0,69.4,54.9,167.0,131.0,78.4
Mikhail Kukushkin,Hard,176.4,133.9,55.1,67.0,0.3489583333333333,10.0,69.0,67.9,49.8,192.0,125.0,65.1
Mikhail Youzhny,Clay,173.4,149.0,65.0,44.0,0.2875816993464052,10.0,65.9,61.4,37.9,153.0,109.0,71.2
Mikhail Youzhny,Grass,176.9,152.9,65.4,62.0,0.18235294117647058,18.0,70.4,68.8,59.2,340.0,278.0,81.8
Mikhail Youzhny,Hard,169.7,150.6,58.1,64.0,0.25806451612903225,14.0,71.5,63.4,54.0,248.0,184.0,74.2
Milos Raonic,Clay,199.2,166.7,64.0,40.0,0.13937282229965156,17.0,76.9,79.7,59.7,287.0,247.0,86.1
Milos Raonic,Grass,200.4,171.1,67.4,35.0,0.0626118067978533,30.0,80.1,82.8,67.7,559.0,524.0,93.7
Milos Raonic,Hard,200.5,172.5,62.8,91.0,0.1047180667433832,46.0,78.7,81.5,66.1,869.0,778.0,89.5
Nick Kyrgios,Clay,191.8,153.6,68.1,30.0,0.2222222222222222,9.0,79.6,71.2,60.6,135.0,105.0,77.8
Nick Kyrgios,Grass,196.4,169.7,68.8,39.0,0.11504424778761062,17.0,81.0,75.7,61.6,339.0,300.0,88.5
Nick Kyrgios,Hard,196.7,161.2,63.1,70.0,0.1545253863134658,24.0,77.3,76.2,61.9,453.0,383.0,84.5
Nicolas Almagro,Clay,185.9,154.0,59.1,48.0,0.1791044776119403,16.0,75.1,67.1,53.6,268.0,220.0,82.1
Nicolas Almagro,Grass,192.3,164.6,59.1,22.0,0.11702127659574468,10.0,73.1,69.5,62.9,188.0,166.0,88.3
Nicolas Almagro,Hard,193.3,148.9,54.0,79.0,0.18414918414918416,23.0,76.3,72.4,54.5,429.0,350.0,81.6
Nicolas Mahut,Clay,185.6,147.7,59.5,51.0,0.28651685393258425,10.0,63.7,66.1,47.5,178.0,127.0,71.3
